"Sample_Name"	"Sample_ID"	"Stream"	"Region"	"LeafLeafLeaf"	"Vegetation"	"Delta13_C_VPDB_corr"	"log_molar_CN"	"Shredder"	"Species"	"Order"	"T"	"Species_All_1"	"Type"	"EA_C_Percent_corr"	"EA_N_Percent_corr"	"Delta15_N_Air_corr"	"Delta13_C_VPDB_corr_corr"
"1"	"Leaf-Alder-T0-1"	NA	NA	"T0"	"Alder"	"T0"	-29.76	3.1407545846519	"N"	"Alder"	NA	"T0"	"Alder"	"Leaf"	47.98	2.42	-1.6	-29.76
"2"	"Leaf-Ash-T0-1"	NA	NA	"T0"	"Ash"	"T0"	-29.88	3.4159652202544	"N"	"Ash"	NA	"T0"	"Ash"	"Leaf"	58.22	2.23	-2.19	-29.88
"3"	"Leaf-Alder-T0-2"	NA	NA	"T0"	"Alder"	"T0"	-29.51	3.23048696505083	"N"	"Alder"	NA	"T0"	"Alder"	"Leaf"	47.93	2.21	-1.69	-29.51
"4"	"Leaf-Ash-T0-2"	NA	NA	"T0"	"Ash"	"T0"	-30.08	3.383838797941	"N"	"Ash"	NA	"T0"	"Ash"	"Leaf"	41.21	1.63	-1.49	-30.08
"5"	"Leaf-Alder-T0-3"	NA	NA	"T0"	"Alder"	"T0"	-27.7	3.34220428682935	"N"	"Alder"	NA	"T0"	"Alder"	"Leaf"	50.2	2.07	-1.65	-27.7
"6"	"Leaf-Ash-T0-3"	NA	NA	"T0"	"Ash"	"T0"	-28.37	NA	"N"	"Ash"	NA	"T0"	"Ash"	"Leaf"	43.84	NA	NA	-28.37
"7"	"Leaf-Ash-T0-4"	NA	NA	"T0"	"Ash"	"T0"	-29.27	3.48404843762408	"N"	"Ash"	NA	"T0"	"Ash"	"Leaf"	42.2	1.51	-1.04	-29.27
"8"	"Leaf-Ash-T0-5"	NA	NA	"T0"	"Ash"	"T0"	-30.04	NA	"N"	"Ash"	NA	"T0"	"Ash"	"Leaf"	40.99	NA	NA	-30.04
"9"	"Leaf-Ash-T0-6"	NA	NA	"T0"	"Ash"	"T0"	-29.88	NA	"N"	"Ash"	NA	"T0"	"Ash"	"Leaf"	41.04	NA	NA	-29.88
"10"	"Leaf-Alder-T0-4"	NA	NA	"T0"	"Alder"	"T0"	-29.22	3.23853420427031	"N"	"Alder"	NA	"T0"	"Alder"	"Leaf"	47.88	2.19	-1.23	-29.22
