"Sample_Name"	"EA_N_Percent_corr"	"EA_C_Percent_corr"	"Delta15_N_Air"	"Delta13_C_VPDB"	"Type"	"Site"	"ID"	"Species"	"T"	"Mesh"	"Mix"	"Vegetation"	"Region"	"Stream"	"Sample_ID"	"Leaf"	"LeafLeafLeaf"	"Country"	"molar_CN"	"log_molar_CN"	"MonoMix"	"Fungal_Biom_Leaf_mgg_noRR"
"1"	"Leaf-Alder-T0-1"	2.42	47.98	-1.6	-29.76	"Leaf"	"T0"	"1"	"Alder"	"T0"	"Coarse"	NA	"non-forested"	"T0"	NA	"TG1A1"	"Alder"	"Alder"	"T0"	23.1213072613559	3.1407545846519	"Mix"	NA
"2"	"Leaf-Ash-T0-1"	2.23	58.22	-2.19	-29.88	"Leaf"	"T0"	"1"	"Ash"	"T0"	"Coarse"	NA	"non-forested"	"T0"	NA	"TG1A1"	"Alder"	"Ash"	"T0"	30.4463226567671	3.4159652202544	"Mix"	NA
"3"	"Leaf-Alder-T0-2"	2.21	47.93	-1.69	-29.51	"Leaf"	"T0"	"2"	"Alder"	"T0"	"Coarse"	NA	"non-forested"	"T0"	NA	"TG1A2"	"Alder"	"Alder"	"T0"	25.2919702782364	3.23048696505083	"Mix"	NA
"4"	"Leaf-Ash-T0-2"	1.63	41.21	-1.49	-30.08	"Leaf"	"T0"	"2"	"Ash"	"T0"	"Coarse"	NA	"non-forested"	"T0"	NA	"TG1A2"	"Alder"	"Ash"	"T0"	29.4837362554177	3.383838797941	"Mix"	NA
"5"	"Leaf-Alder-T0-3"	2.07	50.2	-1.65	-27.7	"Leaf"	"T0"	"3"	"Alder"	"T0"	"Coarse"	NA	"non-forested"	"T0"	NA	"TG1A3"	"Alder"	"Alder"	"T0"	28.281398361823	3.34220428682935	"Mix"	NA
"6"	"Leaf-Ash-T0-3"	NA	43.84	NA	-28.37	"Leaf"	"T0"	"3"	"Ash"	"T0"	"Coarse"	NA	"non-forested"	"T0"	NA	"TG1A3"	"Alder"	"Ash"	"T0"	NA	NA	"Mix"	NA
"7"	"Leaf-Ash-T0-4"	1.51	42.2	-1.04	-29.27	"Leaf"	"T0"	"4"	"Ash"	"T0"	"Coarse"	NA	"non-forested"	"T0"	NA	"TG1A4"	"Alder"	"Ash"	"T0"	32.5913996002571	3.48404843762408	"Mix"	NA
"8"	"Leaf-Ash-T0-5"	NA	40.99	NA	-30.04	"Leaf"	"T0"	"5"	"Ash"	"T0"	"Coarse"	NA	"non-forested"	"T0"	NA	"TG1A5"	"Ash"	"Ash"	"T0"	NA	NA	"Mix"	NA
"9"	"Leaf-Ash-T0-6"	NA	41.04	NA	-29.88	"Leaf"	"T0"	"6"	"Ash"	"T0"	"Coarse"	NA	"non-forested"	"T0"	NA	"TG1A6"	"Ash"	"Ash"	"T0"	NA	NA	"Mix"	NA
"10"	"Leaf-Alder-T0-4"	2.19	47.88	-1.23	-29.22	"Leaf"	"T0"	"4"	"Alder"	"T0"	"Coarse"	NA	"non-forested"	"T0"	NA	"TG1A4"	"Alder"	"Alder"	"T0"	25.4963219439835	3.23853420427031	"Mix"	NA
