"Sample_ID"	"Order"	"Family"	"Genus"	"Species"	"Taxon"	"Total"	"TotalDryMass"	"DryMass"	"Sum_Biomass"	"Stream"	"Site"	"Region"	"Treatment"	"Landscape"	"Leaf"	"Sum_Total"
"1"	"TG1A13"	"Ephemeroptera"	"Baetidae"	"Alainites"	"muticus"	"Alainites muticus"	1	0.124738200988366	0.124738200988366	130.68121745223	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	324
"2"	"TG1A13"	"Ephemeroptera"	"Baetidae"	"Baetis"	"sp."	"Baetis sp."	1	0.179741854894179	0.179741854894179	130.68121745223	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	324
"3"	"TG1A13"	"Ephemeroptera"	"Leptophlebiidae"	"Habrophlebia"	"sp."	"Habrophlebia sp."	3	0.18105595141763	0.0603519838058768	130.68121745223	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	324
"4"	"TG1A13"	"Ephemeroptera"	"Leptophlebiidae"	"Habroleptoides"	"sp."	"Habroleptoides sp."	6	3.09710085852645	0.516183476421075	130.68121745223	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	324
"5"	"TG1A13"	"Plecoptera"	"Capniidae"	"Capnia"	"sp."	"Capnia sp."	2	1.16205304590304	0.581026522951519	130.68121745223	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	324
"6"	"TG1A13"	"Coleoptera"	"Gyrinidae"	"Orectochilus"	"villosus"	"Orectochilus villosus"	1	NA	NA	130.68121745223	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	324
"7"	"TG1A13"	"Trichoptera"	"Rhyacophilidae"	"Rhyacophila"	"sp."	"Rhyacophila sp."	2	2.11023375203136	1.05511687601568	130.68121745223	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	324
"8"	"TG1A13"	"Trichoptera"	"Limnephilidae"	""	""	"Limnephilidae"	16	9.08117450275885	0.567573406422428	130.68121745223	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	324
"9"	"TG1A13"	"Trichoptera"	"Hydropsychidae"	"Hydropsyche"	"sp."	"Hydropsyche sp."	1	1.16594145161192	1.16594145161192	130.68121745223	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	324
"10"	"TG1A13"	"Nematoda"	""	""	""	"Nematoda"	7	NA	NA	130.68121745223	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	324
"11"	"TG1A13"	"Oligochaeta"	""	""	""	"Oligochaeta"	2	0.034129245632889	0.0170646228164445	130.68121745223	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	324
"12"	"TG1A13"	"Crustacea"	"Asellidae"	"Asellus"	"aquaticus"	"Asellus aquaticus"	1	0.124904739339981	0.124904739339981	130.68121745223	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	324
"13"	"TG1A13"	"Diptera"	"Chironomidae"	"Tanypodinae"	""	"Tanypodinae"	2	0.170165911462432	0.0850829557312159	130.68121745223	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	324
